model,threshold,val_precision,val_recall,val_f1,val_pr_auc,val_fpr,test_precision,test_recall,test_f1,test_pr_auc,test_fpr,test_fp,test_tp,test_fp_cost,pattern_a_recall,pattern_b_recall,pattern_c_recall,ring_recall,strong_ring_recall,brier_score,ece
RuleBaseline,0.5,0.0,0.0,0.0,0.0103,0.0,0.0,0.0,0.0,0.0107,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0404,0.1675
LogisticRegression,0.6,0.0502,0.0819,0.0622,0.0282,0.0154,0.0875,0.1276,0.1038,0.0523,0.0136,386,37,50180.0,0.0764,0.2045,0.1667,0.5417,0.0,0.0202,0.0209
RandomForest,0.12,0.1102,0.274,0.1571,0.057,0.022,0.1311,0.3138,0.185,0.0806,0.0213,603,91,78390.0,0.0417,0.2955,0.7059,0.625,0.25,0.0104,0.0035
LightGBM,0.35,0.3176,0.2633,0.2879,0.0817,0.0056,0.3517,0.2862,0.3156,0.0969,0.0054,153,83,19890.0,0.0069,0.0455,0.7843,0.4583,0.2917,0.0105,0.0062
